Zone_Number,weekday,slot_30,total_obs,availability_rate
7485,6,37,5,0.8
7485,6,38,1,1.0
7486,6,30,1,0.0
7486,6,35,1,0.0
7486,6,37,3,0.6666666666666666
7487,6,35,1,0.0
7487,6,36,2,0.5
7488,6,36,2,0.5
7488,6,37,1,1.0
7494,0,25,3,0.3333333333333333
7495,0,22,1,0.0
7495,0,23,2,0.0
7495,0,25,1,0.0
7497,1,20,1,0.0
7497,1,23,1,1.0
7498,6,33,1,1.0
7498,6,34,2,0.5
7498,6,36,4,0.5
7498,6,37,4,0.25
7500,6,35,2,0.0
7500,6,36,1,0.0
7502,1,12,1,0.0
7502,1,21,1,1.0
7502,1,23,2,0.5
7503,6,33,1,0.0
7503,6,35,2,0.5
7503,6,36,1,1.0
7503,6,38,1,0.0
7505,6,35,1,0.0
7505,6,36,1,0.0
7505,6,37,2,0.0
7506,3,19,1,0.0
7506,3,20,3,0.0
7506,4,5,1,1.0
7506,4,7,1,1.0
7506,6,34,1,1.0
7506,6,36,1,1.0
7506,6,38,1,1.0
7507,6,34,1,0.0
7507,6,35,1,0.0
7507,6,36,2,0.0
7507,6,37,3,0.0
7508,6,35,1,0.0
7508,6,37,1,0.0
7509,1,21,1,1.0
7509,1,23,1,0.0
7510,6,35,2,0.0
7510,6,36,2,0.0
7510,6,37,2,0.0
7512,6,30,1,0.0
7512,6,32,1,0.0
7512,6,35,1,0.0
7512,6,37,2,0.0
7514,6,30,1,0.0
7514,6,35,1,1.0
7514,6,36,3,0.0
7514,6,37,4,0.0
7514,6,38,2,0.5
7519,6,37,1,1.0
7520,1,35,1,1.0
7520,2,15,1,1.0
7520,2,21,2,1.0
7520,2,28,1,1.0
7520,3,27,1,1.0
7520,4,42,1,1.0
7522,6,36,2,0.0
7522,6,37,1,0.0
7527,6,33,1,0.0
7527,6,35,1,1.0
7527,6,36,1,1.0
7527,6,37,3,0.3333333333333333
7527,6,38,1,1.0
7528,1,38,1,1.0
7528,6,28,1,0.0
7528,6,33,2,0.5
7528,6,34,2,0.0
7528,6,35,2,1.0
7528,6,37,1,0.0
7529,1,22,1,1.0
7529,6,35,4,0.0
7529,6,36,2,0.0
7532,6,34,2,1.0
7532,6,35,2,0.5
7532,6,36,1,1.0
7532,6,37,4,0.5
7533,6,33,1,0.0
7533,6,36,2,0.0
7533,6,37,1,0.0
7533,6,38,1,0.0
7534,2,35,2,0.5
7534,6,33,1,1.0
7534,6,35,2,0.5
7534,6,36,2,0.5
7534,6,37,4,0.25
7534,6,38,1,0.0
7536,6,35,1,0.0
7536,6,37,1,0.0
7537,3,13,1,0.0
7537,3,14,1,0.0
7537,3,17,1,0.0
7537,3,18,2,0.0
7537,3,19,3,0.0
7537,3,20,3,0.3333333333333333
7537,3,28,1,1.0
7537,4,3,2,1.0
7537,4,4,1,1.0
7537,4,5,1,1.0
7537,6,34,1,0.0
7537,6,35,3,0.6666666666666666
7537,6,36,1,1.0
7538,6,27,1,1.0
7538,6,29,1,0.0
7538,6,30,1,0.0
7538,6,31,1,1.0
7538,6,32,1,0.0
7538,6,33,1,0.0
7538,6,34,3,0.3333333333333333
7538,6,35,1,0.0
7538,6,37,1,0.0
7539,4,27,1,0.0
7539,4,29,1,0.0
7539,4,30,2,1.0
7539,4,31,1,1.0
7539,4,33,1,0.0
7541,6,36,2,0.0
7541,6,37,2,0.0
7541,6,38,1,0.0
7542,6,29,1,0.0
7542,6,36,2,0.0
7542,6,37,3,0.0
7542,6,38,1,1.0
7545,6,37,1,0.0
7547,5,32,1,1.0
7547,6,26,2,0.0
7547,6,30,2,0.5
7547,6,32,2,0.0
7547,6,33,2,0.0
7547,6,34,3,0.0
7547,6,35,5,0.0
7547,6,36,1,0.0
7547,6,37,4,0.5
7547,6,38,3,0.0
7548,6,28,1,1.0
7548,6,29,2,1.0
7548,6,30,3,1.0
7548,6,33,1,0.0
7548,6,36,1,0.0
7548,6,37,2,0.0
7548,6,38,1,1.0
7549,2,17,5,0.4
7549,2,18,9,0.3333333333333333
7549,2,19,1,0.0
7549,4,16,1,0.0
7549,4,29,3,0.0
7549,4,30,1,0.0
7549,4,31,1,1.0
7549,4,32,1,0.0
7550,2,17,2,0.5
7550,2,18,3,0.0
7550,2,19,1,0.0
7550,4,29,1,0.0
7550,4,32,1,1.0
7550,4,33,3,1.0
7551,6,30,1,0.0
7551,6,32,1,0.0
7551,6,34,1,0.0
7551,6,35,5,0.0
7551,6,36,1,0.0
7551,6,37,9,0.0
7551,6,38,3,0.0
7551,6,39,1,0.0
7552,0,29,1,1.0
7552,6,33,1,1.0
7552,6,35,1,0.0
7552,6,36,1,0.0
7552,6,37,2,0.5
7552,6,38,2,1.0
7553,6,35,1,0.0
7553,6,37,1,0.0
7553,6,38,1,1.0
7554,6,35,1,0.0
7554,6,36,1,0.0
7554,6,37,1,0.0
7556,5,19,1,0.0
7556,5,47,1,0.0
7556,6,34,2,0.0
7556,6,35,4,0.0
7556,6,36,8,0.0
7556,6,37,16,0.125
7556,6,38,1,0.0
7557,6,31,1,0.0
7557,6,34,1,0.0
7557,6,36,1,0.0
7557,6,37,3,0.0
7558,6,30,2,0.5
7558,6,34,1,0.0
7558,6,35,1,0.0
7558,6,36,1,0.0
7558,6,37,2,0.0
7559,1,41,1,1.0
7559,6,30,3,1.0
7559,6,31,1,1.0
7559,6,35,1,0.0
7560,1,45,1,1.0
7560,6,34,2,0.0
7560,6,35,1,0.0
7560,6,37,1,0.0
7561,6,32,1,1.0
7561,6,34,1,1.0
7561,6,35,2,1.0
7561,6,36,2,1.0
7561,6,37,2,0.0
7563,5,39,1,1.0
7563,6,28,2,1.0
7563,6,36,2,0.5
7563,6,37,3,0.3333333333333333
7566,0,31,2,0.5
7566,0,32,6,1.0
7566,0,33,5,1.0
7566,0,34,5,0.8
7566,0,35,7,0.7142857142857143
7566,0,36,6,0.3333333333333333
7566,0,37,9,0.4444444444444444
7566,0,38,5,0.2
7566,0,39,1,0.0
7566,1,23,1,1.0
7566,3,23,1,1.0
7568,3,27,1,0.0
7568,6,35,2,0.0
7568,6,37,3,0.0
7569,6,35,1,0.0
7569,6,36,3,0.0
7569,6,37,3,0.0
7570,6,22,1,0.0
7570,6,32,1,0.0
7570,6,33,1,0.0
7570,6,34,2,0.0
7570,6,35,11,0.18181818181818182
7570,6,36,6,0.0
7570,6,37,13,0.15384615384615385
7570,6,38,2,0.5
7571,0,20,1,0.0
7571,0,22,1,0.0
7571,0,25,1,0.0
7571,0,30,1,0.0
7571,0,32,1,0.0
7571,0,33,1,1.0
7571,0,34,3,0.0
7571,0,35,1,0.0
7571,0,36,8,0.0
7571,0,37,2,0.0
7571,0,38,8,0.375
7571,0,39,5,0.6
7571,5,23,1,1.0
7572,6,35,1,0.0
7572,6,36,1,0.0
7572,6,37,2,0.5
7575,0,32,1,1.0
7575,0,36,2,0.5
7575,0,39,2,1.0
7576,6,35,1,0.0
7576,6,37,2,0.5
7576,6,38,1,1.0
7577,0,31,1,1.0
7577,0,37,3,0.0
7577,0,38,2,0.5
7579,6,34,1,0.0
7579,6,35,2,0.0
7579,6,36,1,0.0
7584,6,13,2,0.0
7584,6,25,1,0.0
7584,6,30,2,1.0
7584,6,33,1,1.0
7584,6,34,3,1.0
7584,6,36,2,1.0
7586,2,39,1,1.0
7586,3,20,1,0.0
7586,5,44,1,0.0
7586,6,20,1,0.0
7586,6,22,1,0.0
7586,6,24,1,0.0
7586,6,30,1,0.0
7586,6,32,2,0.5
7586,6,34,2,1.0
7586,6,35,2,0.0
7586,6,36,5,0.4
7586,6,37,1,1.0
7591,6,35,1,1.0
7592,6,32,2,0.0
7592,6,33,2,1.0
7592,6,35,2,0.0
7592,6,36,3,0.3333333333333333
7592,6,37,7,0.2857142857142857
7592,6,38,7,0.8571428571428571
7593,6,35,2,0.5
7593,6,37,1,0.0
7594,6,24,1,0.0
7594,6,33,2,0.0
7594,6,35,3,0.0
7594,6,36,3,0.0
7594,6,37,6,0.0
7594,6,38,1,0.0
7595,6,32,1,0.0
7595,6,35,4,0.75
7595,6,36,1,1.0
7595,6,37,7,0.2857142857142857
7596,6,33,1,0.0
7596,6,34,2,0.5
7596,6,35,1,1.0
7596,6,36,1,1.0
7596,6,37,4,1.0
7603,6,33,2,0.0
7603,6,35,1,0.0
7603,6,36,3,0.0
7603,6,37,1,0.0
7605,4,47,1,1.0
7605,5,46,1,1.0
7605,6,34,1,0.0
7605,6,35,3,0.0
7605,6,36,8,0.0
7605,6,37,3,0.0
7606,6,37,1,0.0
7606,6,38,1,0.0
7607,6,28,1,0.0
7607,6,37,1,0.0
7607,6,38,1,0.0
7608,1,15,1,1.0
7608,6,35,1,0.0
7610,0,20,1,0.0
7610,0,24,1,0.0
7610,0,25,3,0.0
7610,0,26,2,0.0
7610,0,27,6,0.0
7610,2,24,1,1.0
7610,2,36,1,1.0
7610,3,14,1,1.0
7610,3,15,1,1.0
7610,3,37,1,1.0
7610,4,24,1,0.0
7610,4,44,1,1.0
7610,6,22,1,1.0
7610,6,28,1,1.0
7610,6,35,1,1.0
7610,6,37,1,0.0
7611,0,26,1,0.0
7611,1,25,1,1.0
7611,3,14,1,0.0
7611,6,36,1,0.0
7612,5,1,1,1.0
7612,6,34,1,0.0
7612,6,35,1,0.0
7612,6,36,1,0.0
7612,6,37,1,0.0
7614,6,32,1,0.0
7614,6,34,1,0.0
7614,6,35,3,0.0
7614,6,36,1,0.0
7614,6,37,6,0.0
7614,6,38,3,0.0
7615,4,39,1,1.0
7615,6,36,1,0.0
7621,4,0,1,1.0
7621,6,28,1,1.0
7621,6,32,1,0.0
7621,6,34,1,0.0
7621,6,36,6,0.0
7621,6,37,2,0.0
7621,6,38,1,0.0
7622,6,36,1,1.0
7622,6,38,1,1.0
7623,6,36,1,1.0
7623,6,37,2,1.0
7624,6,26,1,0.0
7624,6,34,1,1.0
7624,6,35,2,0.0
7624,6,36,3,0.0
7624,6,37,2,0.0
7624,6,38,1,1.0
7625,1,28,1,0.0
7625,1,29,1,0.0
7625,1,30,1,1.0
7625,3,19,1,0.0
7625,6,35,2,0.0
7626,1,30,2,0.5
7626,6,34,1,0.0
7626,6,35,2,0.0
7627,6,36,2,0.0
7627,6,37,2,0.0
7628,1,19,1,1.0
7628,1,28,2,0.5
7628,1,29,1,1.0
7628,6,33,1,0.0
7628,6,34,1,0.0
7628,6,36,1,0.0
7628,6,37,1,0.0
7628,6,38,1,0.0
7630,6,33,1,1.0
7630,6,34,3,0.0
7630,6,35,3,0.0
7630,6,37,2,0.0
7630,6,38,1,0.0
7631,6,23,2,0.0
7631,6,34,1,0.0
7631,6,35,1,0.0
7633,1,30,2,1.0
7633,1,31,1,0.0
7633,6,36,1,0.0
7633,6,38,1,0.0
7634,1,17,1,0.0
7634,1,28,1,0.0
7634,1,29,3,0.0
7634,1,30,5,0.2
7634,2,17,1,0.0
7634,2,33,1,0.0
7634,3,16,2,0.0
7634,3,18,3,1.0
7634,6,17,1,0.0
7634,6,35,1,0.0
7634,6,36,1,0.0
7634,6,37,1,0.0
7634,6,38,1,1.0
7635,6,36,1,0.0
7635,6,37,2,0.0
7635,6,38,1,0.0
7636,6,34,2,0.5
7636,6,35,1,0.0
7636,6,36,2,0.0
7636,6,37,3,0.0
7636,6,38,1,1.0
7637,6,35,1,0.0
7637,6,36,1,0.0
7637,6,38,1,1.0
7638,6,34,1,0.0
7638,6,35,5,0.0
7638,6,36,5,0.0
7638,6,37,6,0.16666666666666666
7639,1,21,1,0.0
7639,6,30,1,0.0
7639,6,33,1,0.0
7639,6,34,2,0.0
7639,6,35,4,0.0
7639,6,36,6,0.16666666666666666
7639,6,37,2,0.0
7639,6,38,1,0.0
7640,6,34,1,0.0
7640,6,35,1,0.0
7640,6,36,2,0.0
7640,6,37,3,0.0
7640,6,38,1,1.0
7642,0,25,1,1.0
7642,6,33,1,0.0
7642,6,34,2,0.0
7643,0,25,3,0.0
7643,6,36,1,0.0
7643,6,37,2,1.0
7644,6,33,1,0.0
7644,6,35,1,0.0
7644,6,37,1,0.0
7644,6,38,1,0.0
7645,6,33,1,0.0
7645,6,35,1,0.0
7645,6,36,2,0.0
7645,6,37,3,0.0
7645,6,38,1,1.0
7646,6,37,1,0.0
7646,6,38,2,1.0
7647,6,29,1,0.0
7647,6,34,3,0.0
7647,6,35,3,0.0
7647,6,36,5,0.0
7647,6,37,2,0.0
7648,1,44,1,1.0
7648,2,11,1,0.0
7648,4,27,1,1.0
7648,6,31,1,0.0
7648,6,34,2,1.0
7648,6,36,1,1.0
7648,6,37,1,1.0
7649,6,29,1,1.0
7649,6,31,1,1.0
7649,6,32,2,0.5
7649,6,34,1,0.0
7649,6,35,3,0.0
7649,6,36,5,0.2
7649,6,37,7,0.14285714285714285
7649,6,38,3,0.3333333333333333
7659,6,30,1,0.0
7659,6,33,2,0.0
7659,6,36,1,0.0
7660,6,34,1,0.0
7660,6,37,1,0.0
7672,6,34,1,1.0
7672,6,36,2,1.0
7674,1,27,4,0.0
7674,1,28,3,0.3333333333333333
7674,1,29,6,0.5
7674,1,31,1,0.0
7674,4,19,1,1.0
7674,6,18,1,0.0
7674,6,19,3,0.3333333333333333
7674,6,33,1,0.0
7674,6,35,1,0.0
7676,6,23,1,1.0
7676,6,38,1,0.0
7686,6,37,3,0.6666666666666666
7686,6,38,1,0.0
7689,6,33,1,0.0
7689,6,36,2,0.5
7689,6,37,1,0.0
7690,6,37,2,0.0
7690,6,38,1,0.0
7692,2,28,1,0.0
7692,2,29,1,0.0
7695,2,24,1,0.0
7695,2,27,1,0.0
7695,2,29,1,1.0
7696,6,35,1,0.0
7696,6,36,1,0.0
7696,6,38,1,0.0
7697,1,21,1,1.0
7697,6,35,1,0.0
7697,6,37,2,0.0
7697,6,38,1,0.0
7705,4,21,1,0.0
7705,6,33,1,0.0
7705,6,36,1,0.0
7705,6,37,4,0.5
7706,6,38,1,1.0
7708,4,20,1,0.0
7708,4,25,1,1.0
7708,4,36,1,0.0
7708,5,23,1,0.0
7708,5,37,1,0.0
7708,6,19,1,0.0
7708,6,25,1,1.0
7708,6,26,1,0.0
7708,6,29,1,0.0
7708,6,31,1,1.0
7708,6,32,3,0.6666666666666666
7708,6,33,1,0.0
7708,6,35,1,1.0
7708,6,36,1,1.0
7708,6,37,3,0.6666666666666666
7708,6,40,1,0.0
7708,6,45,1,0.0
7712,0,25,1,0.0
7712,0,26,3,0.3333333333333333
7712,0,28,1,0.0
7712,0,31,1,0.0
7712,3,35,1,0.0
7712,4,13,1,1.0
7712,4,14,1,1.0
7712,4,15,1,1.0
7712,4,16,1,1.0
7712,4,18,2,0.5
7712,4,19,1,0.0
7712,4,25,1,0.0
7712,5,23,1,1.0
7712,6,26,3,0.6666666666666666
7716,5,24,1,0.0
7716,6,19,1,0.0
7716,6,22,1,0.0
7716,6,28,1,0.0
7716,6,29,1,0.0
7716,6,30,1,0.0
7716,6,31,1,0.0
7716,6,32,5,0.2
7716,6,34,1,0.0
7716,6,35,3,0.0
7716,6,36,6,0.3333333333333333
7716,6,37,4,0.0
7718,1,32,1,1.0
7718,6,35,1,0.0
7719,6,12,1,1.0
7719,6,31,1,1.0
7720,5,35,1,0.0
7720,6,13,2,0.0
7720,6,14,1,0.0
7720,6,22,2,0.0
7720,6,23,1,0.0
7720,6,24,1,0.0
7720,6,27,1,0.0
7720,6,29,2,0.0
7720,6,33,1,0.0
7720,6,35,1,0.0
7720,6,36,1,1.0
7720,6,37,2,0.5
7721,0,17,1,0.0
7721,0,30,1,0.0
7721,1,36,1,0.0
7721,2,3,1,1.0
7721,3,39,1,0.0
7721,4,23,1,0.0
7721,4,25,1,0.0
7721,4,41,1,0.0
7721,5,30,1,1.0
7721,5,35,1,0.0
7721,5,39,1,0.0
7721,6,15,1,0.0
7721,6,29,1,0.0
7721,6,31,2,1.0
7721,6,32,2,1.0
7721,6,33,1,0.0
7721,6,34,1,0.0
7721,6,35,5,0.2
7721,6,36,10,0.3
7721,6,37,7,0.2857142857142857
7721,6,38,3,0.6666666666666666
7721,6,43,1,1.0
7722,6,30,2,1.0
7722,6,32,1,1.0
7722,6,35,1,0.0
7722,6,37,1,1.0
7725,1,18,1,0.0
7725,5,29,1,1.0
7725,6,10,1,1.0
7725,6,17,1,0.0
7725,6,22,1,0.0
7725,6,29,1,1.0
7725,6,31,1,1.0
7725,6,33,1,0.0
7725,6,34,4,0.0
7725,6,35,1,1.0
7725,6,36,6,0.0
7725,6,37,5,0.2
7725,6,38,3,0.0
7726,1,18,1,1.0
7726,1,44,1,0.0
7726,6,15,1,0.0
7726,6,30,1,0.0
7726,6,37,1,1.0
7727,2,29,1,1.0
7727,3,40,1,1.0
7727,6,30,2,0.0
7727,6,34,1,1.0
7727,6,37,1,1.0
7728,6,23,1,0.0
7728,6,30,1,0.0
7728,6,34,1,0.0
7728,6,35,1,1.0
7728,6,37,1,0.0
7733,6,34,1,1.0
7733,6,36,1,0.0
7733,6,37,1,0.0
7733,6,38,1,1.0
7739,1,30,1,0.0
7739,3,36,1,0.0
7739,4,37,1,0.0
7739,4,42,1,0.0
7739,5,1,1,0.0
7739,5,16,1,0.0
7739,5,24,1,0.0
7739,6,27,2,0.0
7739,6,28,1,0.0
7739,6,33,1,0.0
7739,6,34,1,0.0
7739,6,35,2,0.5
7739,6,36,3,0.0
7739,6,37,3,0.6666666666666666
7739,6,38,1,0.0
7740,4,1,1,0.0
7740,5,22,1,0.0
7740,6,33,1,0.0
7740,6,35,1,1.0
7740,6,37,1,0.0
7748,6,15,1,0.0
7748,6,21,1,0.0
7748,6,31,1,0.0
7748,6,33,2,0.5
7748,6,34,1,0.0
7748,6,35,5,0.0
7748,6,36,1,1.0
7748,6,37,4,0.0
7752,0,26,3,0.6666666666666666
7752,0,30,2,0.5
7752,3,46,1,1.0
7752,4,12,1,1.0
7752,4,15,1,1.0
7752,4,28,1,0.0
7752,6,27,1,1.0
7753,3,32,8,1.0
7753,3,33,2,1.0
7753,3,34,3,1.0
7753,3,35,2,1.0
7753,3,37,1,1.0
7753,4,36,1,1.0
7753,6,23,1,0.0
7753,6,30,1,0.0
7753,6,31,1,1.0
7753,6,33,1,0.0
7753,6,34,1,0.0
7753,6,35,2,0.5
7753,6,36,1,0.0
7753,6,37,1,1.0
7753,6,38,2,0.5
7757,5,43,1,0.0
7757,6,18,1,0.0
7757,6,25,2,0.0
7757,6,26,1,0.0
7757,6,28,1,0.0
7757,6,29,1,0.0
7757,6,34,2,0.5
7757,6,35,1,0.0
7757,6,37,4,0.0
7757,6,38,2,1.0
7762,6,37,2,0.5
7762,6,38,1,0.0
7763,6,33,1,0.0
7763,6,34,2,0.0
7763,6,36,2,0.0
7763,6,37,1,0.0
7764,6,35,1,0.0
7764,6,36,2,0.0
7764,6,37,1,0.0
7765,6,37,2,0.0
7766,1,16,1,1.0
7766,4,47,1,1.0
7766,6,28,1,0.0
7766,6,29,2,0.0
7766,6,31,1,0.0
7766,6,32,1,0.0
7766,6,33,1,0.0
7766,6,35,1,0.0
7766,6,36,4,0.0
7766,6,37,2,0.0
7767,0,27,1,1.0
7767,0,28,1,1.0
7767,0,38,2,1.0
7768,0,28,1,1.0
7768,0,29,1,0.0
7768,0,31,1,1.0
7768,0,33,1,1.0
7768,0,34,1,1.0
7768,0,35,1,1.0
7768,0,36,1,1.0
7768,0,37,1,1.0
7768,0,38,2,0.5
7769,6,35,2,0.0
7769,6,36,1,0.0
7769,6,37,1,0.0
7769,6,38,2,1.0
7770,0,23,1,0.0
7770,0,25,3,0.3333333333333333
7770,0,26,3,0.6666666666666666
7772,6,36,1,0.0
7772,6,37,1,1.0
7772,6,38,1,1.0
7779,0,21,1,0.0
7779,0,24,1,0.0
7779,0,25,1,0.0
7780,6,36,2,0.0
7780,6,38,1,0.0
7792,6,35,2,0.0
7800,0,20,1,0.0
7800,4,41,1,0.0
7800,4,42,1,0.0
7800,6,23,1,0.0
7800,6,24,1,0.0
7910,6,20,1,0.0
7910,6,31,1,0.0
7910,6,34,2,0.0
7910,6,36,5,0.0
7910,6,37,6,0.0
7910,6,38,1,0.0
7922,0,26,1,0.0
7922,0,28,1,1.0
7922,2,40,1,0.0
7922,3,38,1,0.0
7922,3,42,1,1.0
7922,4,18,1,1.0
7922,4,22,1,0.0
7922,4,26,1,1.0
7922,6,20,1,0.0
7922,6,26,1,0.0
7923,0,27,1,1.0
7923,0,28,1,1.0
7923,0,30,1,1.0
7923,1,27,1,1.0
7923,2,1,1,1.0
7923,3,38,1,1.0
7923,3,39,1,0.0
7923,3,42,1,1.0
7923,3,44,1,1.0
7923,3,45,1,1.0
7923,4,1,1,1.0
7923,4,2,1,1.0
7923,4,3,1,1.0
7923,4,15,1,1.0
7923,4,18,2,0.0
7923,4,19,2,0.0
7923,4,20,1,0.0
7923,4,21,1,0.0
7923,4,23,2,0.0
7923,4,29,2,1.0
7923,4,30,1,0.0
7923,6,18,1,0.0
7923,6,23,1,0.0
7923,6,24,3,0.0
7923,6,25,3,0.0
7923,6,26,2,0.0
7924,0,21,1,0.0
7924,0,35,1,1.0
7924,2,21,1,1.0
7924,2,22,2,0.5
7924,2,24,1,1.0
7924,3,0,1,1.0
7924,3,13,2,1.0
7924,3,15,1,1.0
7924,3,16,1,1.0
7924,3,17,2,0.5
7924,3,18,1,1.0
7924,4,19,1,0.0
7924,6,5,1,1.0
7924,6,33,1,1.0
7930,1,19,3,0.0
7930,1,20,2,0.5
7930,1,24,4,0.25
7930,1,27,1,1.0
7930,1,29,1,0.0
7936,0,17,1,0.0
7936,0,18,1,0.0
7936,0,21,1,1.0
7936,0,22,1,1.0
7938,1,29,1,1.0
7938,1,30,1,1.0
7938,1,32,1,0.0
7938,2,37,1,0.0
7938,4,16,1,1.0
7938,4,19,1,0.0
7938,6,23,1,1.0
7939,3,38,1,1.0
7939,5,43,1,1.0
7939,5,46,1,1.0
7939,5,47,1,1.0
7939,6,7,1,1.0
7939,6,22,1,1.0
7939,6,24,1,1.0
7939,6,30,1,1.0
7939,6,36,1,1.0
7939,6,39,1,1.0
7939,6,41,1,1.0
7939,6,42,1,1.0
7948,6,35,1,1.0
7948,6,37,2,1.0
7948,6,38,2,1.0
7949,6,33,1,1.0
7949,6,36,2,1.0
7949,6,37,2,1.0
7951,4,20,1,1.0
7951,6,24,1,0.0
7952,1,32,2,0.0
7952,1,45,1,1.0
7981,0,20,1,1.0
7981,5,36,1,0.0
7981,5,45,1,1.0
7981,6,21,1,0.0
7981,6,22,1,0.0
7981,6,23,1,0.0
7981,6,24,1,0.0
7981,6,27,2,1.0
7981,6,28,1,1.0
7981,6,29,3,0.6666666666666666
7981,6,30,3,0.6666666666666666
7981,6,31,1,1.0
7981,6,33,1,1.0
7981,6,34,2,0.5
7981,6,35,4,0.5
7981,6,36,3,0.3333333333333333
7981,6,37,2,1.0
7981,6,38,1,1.0
7985,0,8,1,1.0
7985,1,21,1,0.0
7985,2,18,1,1.0
7985,2,28,1,1.0
7985,3,25,1,1.0
7985,3,45,1,1.0
7985,3,46,1,1.0
7985,4,8,1,0.0
7985,4,11,1,1.0
7985,4,17,2,0.5
7985,4,19,3,0.3333333333333333
7986,1,43,1,1.0
7986,2,12,1,1.0
7986,2,18,1,1.0
7986,2,19,2,1.0
7988,3,27,1,1.0
7988,3,31,1,1.0
7988,3,34,1,1.0
7988,3,35,1,0.0
7988,3,36,1,1.0
7988,4,12,1,1.0
7988,4,17,2,1.0
7988,4,18,1,1.0
7993,0,38,1,0.0
7993,1,27,1,1.0
7993,1,30,1,1.0
7993,1,41,2,1.0
7993,1,42,1,1.0
7993,1,44,1,1.0
7993,2,10,1,1.0
7993,2,18,1,0.0
7993,2,28,1,0.0
7993,2,41,1,1.0
7993,2,44,1,1.0
7993,3,37,2,0.5
7993,3,38,1,0.0
7993,3,40,1,1.0
7993,3,42,1,0.0
7993,4,14,1,0.0
7993,4,17,2,0.5
7995,1,25,1,1.0
